r,U_00,U_01,U_11,hs_00,hs_01,hs_11,lj_00,lj_01,lj_11,coulomb_00,coulomb_01,coulomb_11
0.19,inf,inf,inf,inf,inf,inf,1807158928.0045152,6946452941.835154,24169972089.927124,5.2631578947368425,-5.2631578947368425,5.2631578947368425
0.2,inf,inf,inf,inf,inf,inf,976500000.0,3753549997.2294254,13060414079.999977,5.0,-5.0,5.0
0.21,inf,inf,inf,inf,inf,inf,543739902.7267331,2090091408.4988222,7272474242.92327,4.761904761904762,-4.761904761904762,4.761904761904762
0.22,inf,inf,inf,inf,inf,inf,311127628.2996423,1195963366.9138865,4161381597.608757,4.545454545454546,-4.545454545454546,4.545454545454546
0.23,inf,inf,inf,inf,inf,inf,182499493.37942132,701532052.3617924,2441016073.9327073,4.3478260869565215,-4.3478260869565215,4.3478260869565215
0.24,inf,inf,inf,inf,inf,inf,109507052.06455824,420955405.99799067,1464750000.0,4.166666666666667,-4.166666666666667,4.166666666666667
0.25,inf,inf,inf,inf,inf,inf,67092480.0,257915762.01386094,897450675.045742,4.0,-4.0,4.0
0.26,inf,inf,inf,inf,inf,inf,41903049.94188027,161087532.98092833,560532882.8417071,3.846153846153846,-3.846153846153846,3.846153846153846
0.27,inf,inf,inf,inf,inf,inf,26639528.52233578,102413612.87321141,356372908.30151856,3.7037037037037033,-3.7037037037037033,3.7037037037037033
0.28,inf,inf,inf,inf,inf,inf,17216873.260370098,66191666.61694003,230334892.77237627,3.571428571428571,-3.571428571428571,3.571428571428571
0.29,inf,inf,inf,inf,inf,inf,11298625.429097703,43440620.87571364,151169336.13528362,3.4482758620689657,-3.4482758620689657,3.4482758620689657
0.3,inf,inf,inf,inf,inf,inf,7521218.7241857555,28919050.956529725,100638720.0,3.3333333333333335,-3.3333333333333335,3.3333333333333335
0.31,inf,inf,inf,inf,inf,inf,5073808.319410025,19510117.84158358,67897967.7084052,3.2258064516129035,-3.2258064516129035,3.2258064516129035
0.32,inf,inf,inf,inf,inf,inf,3465721.661655152,13327687.391132154,46384220.799431205,3.125,-3.125,3.125
0.33,inf,inf,inf,inf,inf,inf,2395143.138864691,9211574.059060894,32060555.806594677,3.0303030303030303,-3.0303030303030303,3.0303030303030303
0.34,inf,inf,inf,inf,inf,inf,1673561.0823467076,6437125.368359404,22405490.568902683,2.941176470588235,-2.941176470588235,2.941176470588235
0.35000000000000003,inf,inf,inf,inf,inf,inf,1181528.9733182073,4545173.119892025,15821302.093664896,2.8571428571428568,-2.8571428571428568,2.8571428571428568
0.36,inf,inf,inf,inf,inf,inf,842332.557402346,3240812.2500619283,11281828.086278632,2.7777777777777777,-2.7777777777777777,2.7777777777777777
0.37,inf,inf,inf,inf,inf,inf,606071.1198903655,2332210.3350155484,8119554.165681833,2.7027027027027026,-2.7027027027027026,2.7027027027027026
0.38,inf,inf,inf,inf,inf,inf,439893.1774463845,1693073.9616866433,5895014.788840524,2.6315789473684212,-2.6315789473684212,2.6315789473684212
0.39,inf,inf,inf,inf,inf,inf,321924.3600711909,1239307.528480127,4315576.658486728,2.564102564102564,-2.564102564102564,2.564102564102564
0.4,inf,inf,inf,inf,inf,inf,237442.0166015625,914308.2917782142,3184271.9999999944,2.5,-2.5,2.5
0.41000000000000003,inf,inf,inf,inf,inf,inf,176435.45081194246,679587.7158598353,2367164.8121344643,2.4390243902439024,-2.4390243902439024,2.4390243902439024
0.42,inf,inf,inf,inf,inf,inf,132031.66005919833,508719.8036308492,1772293.459977314,2.380952380952381,-2.380952380952381,2.380952380952381
0.43,inf,inf,inf,inf,inf,inf,99468.25004389904,383392.78476872307,1335932.006650522,2.3255813953488373,-2.3255813953488373,2.3255813953488373
0.44,inf,inf,inf,inf,inf,inf,75416.2627441542,290805.89208564017,1013531.8733988024,2.272727272727273,-2.272727272727273,2.272727272727273
0.45,inf,inf,inf,inf,inf,inf,57529.22058523105,221935.7375767868,773689.3513296861,2.2222222222222223,-2.2222222222222223,2.2222222222222223
0.46,inf,inf,inf,inf,inf,inf,44139.94225354482,170370.74621569735,594089.7359095933,2.1739130434782608,-2.1739130434782608,2.1739130434782608
0.47000000000000003,inf,inf,inf,inf,inf,inf,34054.846644601064,131520.3552762975,458755.5118177248,2.127659574468085,-2.127659574468085,2.127659574468085
0.48,inf,inf,inf,inf,inf,inf,26413.181465180474,102073.8022904373,356163.02490234375,2.0833333333333335,-2.0833333333333335,2.0833333333333335
0.49,inf,inf,inf,inf,inf,inf,20589.881497108578,79626.6408444202,277942.7981179992,2.0408163265306123,-2.0408163265306123,2.0408163265306123
0.5,inf,inf,inf,inf,inf,inf,16128.0,62420.94835264022,217975.46676033933,2.0,-2.0,2.0
0.51,inf,inf,inf,inf,inf,inf,12691.351514890186,49163.23703497712,171758.10449677828,1.9607843137254901,-1.9607843137254901,1.9607843137254901
0.52,inf,inf,inf,inf,inf,inf,10031.077541732866,38895.89309299519,135956.8188021406,1.923076923076923,-1.923076923076923,1.923076923076923
0.53,inf,inf,inf,inf,inf,inf,7961.876154493015,30905.771146114726,108088.64259400437,1.8867924528301885,-1.8867924528301885,1.8867924528301885
0.54,inf,inf,inf,inf,inf,inf,6344.988397173841,24658.767509846526,86293.83087784637,1.8518518518518516,-1.8518518518518516,1.8518518518518516
0.55,inf,inf,inf,inf,inf,inf,5075.941991272717,19752.685285803545,69171.81311225603,1.8181818181818181,-1.8181818181818181,1.8181818181818181
0.56,inf,inf,inf,inf,inf,inf,4075.667155795859,15883.065688145309,55662.26914533913,1.7857142857142856,-1.7857142857142856,1.7857142857142856
