0.0454430, -111.100
0.00220701, -123.664
0.199936, -120.390
0.339547, -127.388
0.505672, -134.050
0.640832, -138.942
0.818038, -144.634
0.971953, -148.130
1.13771, -151.200
1.29952, -153.904
1.46163, -154.265
1.60353, -139.036
1.76448, -134.625
1.91497, -135.836
2.08044, -137.308
2.24121, -132.531
2.40902, -121.852
2.57820, -114.061
2.74373, -107.385
2.89373, -102.776
3.05429, -99.6141
3.21008, -96.2934
3.37749, -92.8279
3.53856, -88.4168
3.68578, -83.3491
3.86996, -77.5183
4.07387, -70.5757
4.24389, -65.5253
4.41471, -60.5247
4.57221, -55.9295
4.74612, -52.1566
4.90283, -47.8956
5.06941, -44.6380
5.12963, -12.7356
5.25211, -40.6189
5.28371, -13.3010
5.43778, -13.8664
5.42063, -37.8765
5.59194, -13.7607
5.58631, -35.4207
5.74611, -13.6550
5.73295, -33.9276
5.90027, -13.5493
5.89789, -31.7339
6.05409, -16.0287
6.01473, -31.3029
6.20814, -16.8426
6.36211, -18.1538
6.39382, 10.0356
6.51624, -18.3215
6.58972, 7.80300
6.67054, -17.1717
6.82477, -16.5689
6.97885, -17.0597
7.14276, -16.6301
7.27855, -13.9389
7.44878, -17.0371
7.51493, -30.0547
7.61120, -17.1781
7.65730, -32.3154
7.74836, -15.7830
7.81499, -26.0096
7.93988, -20.6012
8.11273, -19.7298
8.24390, -20.7930
8.40785, -19.9796
8.54064, -22.6269
