0.0425248, -244.204
0.0789886, -271.588
0.00552769, -297.580
0.00317180, -315.626
0.000815910, -333.672
-0.00153998, -351.718
0.0235824, -373.968
-0.00625176, -387.810
-0.00860765, -405.856
-0.00459074, -428.759
-0.00695853, -446.896
-0.00888607, -461.661
0.125665, -257.550
0.218399, -277.141
0.314137, -295.195
0.416909, -313.041
0.533647, -331.250
0.664299, -350.222
0.809133, -367.898
0.961106, -384.571
1.11347, -398.261
1.26609, -409.937
1.41899, -419.526
1.57208, -427.623
1.72528, -434.900
1.87862, -441.132
2.03200, -446.992
2.18539, -452.778
2.33886, -458.041
2.49228, -463.603
2.64668, -461.633
2.74713, -443.599
2.79140, -426.527
2.82874, -408.883
2.86618, -390.418
2.90424, -367.306
2.94179, -348.021
2.99395, -324.139
3.05276, -303.018
3.13222, -284.785
3.26017, -270.803
3.41535, -262.867
3.57049, -255.304
3.72588, -245.803
3.86935, -235.554
4.03741, -220.983
4.19353, -205.888
4.10848, -481.695
4.34986, -189.228
4.49917, -172.587
4.64145, -156.203
4.79081, -139.218
4.94709, -122.856
5.10304, -109.104
5.25867, -97.7382
5.41395, -89.0569
5.56899, -82.2398
5.72378, -77.3615
5.87842, -73.6019
6.03297, -70.5133
6.18756, -67.1265
6.34220, -63.3668
6.49686, -59.4579
6.65156, -55.2508
6.80624, -51.1183
6.96094, -46.9112
7.12044, -41.7207
7.27024, -39.2427
7.42498, -34.7497
7.57947, -32.0961
7.73381, -30.6481
7.88884, -23.8808
8.04330, -21.5255
8.19637, -21.5298
8.35191, -19.1327
8.50578, -21.3003
8.65991, -21.4332
8.81418, -20.4873
8.96814, -21.9526
9.11535, -21.4532
