   6.250  -0.31763   0.31764  -0.31763
   6.300  -0.31511   0.31511  -0.31511
   6.350  -0.31263   0.31263  -0.31263
   6.400  -0.31019   0.31019  -0.31019
   6.450  -0.30779   0.30779  -0.30779
   6.500  -0.30542   0.30542  -0.30542
   6.550  -0.30309   0.30309  -0.30309
   6.600  -0.30079   0.30079  -0.30079
   6.650  -0.29853   0.29853  -0.29853
   6.700  -0.29630   0.29630  -0.29630
   6.750  -0.29411   0.29411  -0.29411
   6.800  -0.29194   0.29194  -0.29194
   6.850  -0.28981   0.28981  -0.28981
   6.900  -0.28771   0.28771  -0.28771
   6.950  -0.28564   0.28564  -0.28564
   7.000  -0.28360   0.28360  -0.28360
   7.050  -0.28159   0.28159  -0.28159
   7.100  -0.27961   0.27961  -0.27961
   7.150  -0.27765   0.27765  -0.27765
   7.200  -0.27572   0.27572  -0.27572
   7.250  -0.27382   0.27382  -0.27382
   7.300  -0.27195   0.27195  -0.27195
   7.350  -0.27010   0.27010  -0.27010
   7.400  -0.26827   0.26827  -0.26827
   7.450  -0.26647   0.26647  -0.26647
   7.500  -0.26470   0.26470  -0.26470
   7.550  -0.26294   0.26294  -0.26294
   7.600  -0.26121   0.26121  -0.26121
   7.650  -0.25951   0.25951  -0.25951
   7.700  -0.25782   0.25782  -0.25782
   7.750  -0.25616   0.25616  -0.25616
   7.800  -0.25452   0.25452  -0.25452
   7.850  -0.25289   0.25289  -0.25289
   7.900  -0.25129   0.25129  -0.25129
   7.950  -0.24971   0.24971  -0.24971
   8.000  -0.24815   0.24815  -0.24815
   8.050  -0.24661   0.24661  -0.24661
   8.100  -0.24509   0.24509  -0.24509
   8.150  -0.24359   0.24359  -0.24359
   8.200  -0.24210   0.24210  -0.24210
   8.250  -0.24063   0.24063  -0.24063
   8.300  -0.23918   0.23918  -0.23918
   8.350  -0.23775   0.23775  -0.23775
   8.400  -0.23634   0.23634  -0.23634
   8.450  -0.23494   0.23494  -0.23494
   8.500  -0.23356   0.23356  -0.23356
   8.550  -0.23219   0.23219  -0.23219
   8.600  -0.23084   0.23084  -0.23084
   8.650  -0.22950   0.22950  -0.22950
   8.700  -0.22819   0.22819  -0.22819
   8.750  -0.22688   0.22688  -0.22688
   8.800  -0.22559   0.22559  -0.22559
   8.850  -0.22432   0.22432  -0.22432
   8.900  -0.22306   0.22306  -0.22306
   8.950  -0.22181   0.22181  -0.22181
   9.000  -0.22058   0.22058  -0.22058
